"","X","WS12.2","WS14.2","WS17.2","WS18.2","WS2.2","WS21.2","WS23.2","WS24.2","WS27.2","WS32.2","WS33.2","WS34.2","WS36.2","WS37.2","WS38.2","WS39.2","WS4.2","WS40.2","WS42.2","WS43.2","WS47.2","WS5.2","WS6.2","WS8.2","WS9.2","Ensembl"
"ENSG00000144566 - RAB5A","RAB5A",1969.999,911.001,552,1207,1574,1193,749.999,889,542,379,1536.999,1804.001,643,689.999,1328,1707,1140,1592,1303.003,626,1034.001,1899.999,1213.001,3589,1013.001,"ENSG00000144566"
"ENSG00000144567 - RETREG2","RETREG2",5961.001,2059.001,1303,1552,3202,3236,1758.001,2136,1284,929,3494.001,4799,1252.999,1809.999,2227,3258,3258.001,3171.999,2738,1788,2483.001,3992.999,2750,6316,1794,"ENSG00000144567"
"ENSG00000144579 - CTDSP1","CTDSP1",7970.999,3796.999,1923.001,3795,4094.001,3524,1901.001,3123,1620,1351.999,5268.001,6383.999,2479.998,2237.999,2943.999,4384.999,4206.999,3960,3642.999,2800.999,3742.001,5849,3281,8009.001,2605.999,"ENSG00000144579"
"ENSG00000144580 - CNOT9","CNOT9",753.999,480,164,413,481,759,266,325.999,339,298.001,502.999,1082.001,657,169,941.999,1581.999,496.999,708.999,769.001,334,343.001,732,544,2507,398,"ENSG00000144580"
"ENSG00000144583 - MARCHF4","MARCHF4",15,13,1,4,7,10,4,0,2,4,7,7,0,1,8,6,7,11,4,0,5,10,4,21,2,"ENSG00000144583"
"ENSG00000144589 - STK11IP","STK11IP",389,235,132,288,248.001,321,136,177,131,157,356,527.001,176,134,348,535,248,348,402.001,307.999,225.001,325,216,958,177.999,"ENSG00000144589"
"ENSG00000144591 - GMPPA","GMPPA",986,796.001,245,761.001,1287.001,1070,644.999,547,521.001,663.001,855.001,1240,962.999,360,1112,1976.001,722.001,1171.999,1451.002,621.999,566.002,814.001,751.999,4177,585,"ENSG00000144591"
"ENSG00000144596 - GRIP2","GRIP2",2,5,0,2,1,0,0,0,0,0,1,0,1,0,0,1,6,2,2,2,1,0,1,0,0,"ENSG00000144596"
"ENSG00000144597 - EAF1","EAF1",884,323,184,476,630,588,300,273,186,172,664,897,350,290,760,1016,477,728,737,233,427,825,446,1726,317,"ENSG00000144597"
"ENSG00000144619 - CNTN4","CNTN4",67.001,51.999,19,37,40,82,49.001,46,28,27,79,301.999,99.001,12,154,230,73,114.999,91,82,55,92,71,191,60,"ENSG00000144619"
"ENSG00000144635 - DYNC1LI1","DYNC1LI1",470,272,86,304,398,418,221,214,169,152.001,329,542.999,329,208,537,676,385,510,494,207,233,474,335.999,1447.001,305,"ENSG00000144635"
"ENSG00000144642 - RBMS3","RBMS3",38,24.001,0,12,4,26,2,7,9,28,13,13,5,4,8.636,7,5,7,4,10,19,7,0,8,1,"ENSG00000144642"
"ENSG00000144644 - GADL1","GADL1",2,4,0,0,1,4,0,2,0,0,2,0,0,1,0,0,1,0,1,1,1,3,2,0,1,"ENSG00000144644"
"ENSG00000144645 - OSBPL10","OSBPL10",159,108,22,184,112,209.999,76,65,97.001,103,114,247,178,24,270.001,420.001,73,187,185,70,85,190,106,617,89,"ENSG00000144645"
"ENSG00000144647 - POMGNT2","POMGNT2",222.999,52,38,70,32,133,20,61,29,18,65,192,73,25,156,173.001,75,96,65,60,83,182,80,252,58,"ENSG00000144647"
"ENSG00000144648 - ACKR2","ACKR2",229,77,87,98,170.001,90.999,52,87,36,27,209.999,167.354,39,74,121.001,99.001,188,67,111,91.243,144,213.999,129,200.001,75,"ENSG00000144648"
"ENSG00000144649 - GASK1A","GASK1A",470.657,359.921,78.639,123.589,308.79,183.235,71.941,182.156,141.58,108.808,226.979,235.116,128.711,106.178,265.556,317.108,161.642,267.087,208.266,178.261,170.096,271.225,128.362,407.887,146.27,"ENSG00000144649"
"ENSG00000144655 - CSRNP1","CSRNP1",461,267,196,500,316,343,133,264,107,169,554,422,501,234,413,2819,370,308,443,201,377,609,261,647,355,"ENSG00000144655"
"ENSG00000144659 - SLC25A38","SLC25A38",1129,762.001,257,718,1146,1216.001,481,531.001,356,514,868.002,1385.002,817,444,855.999,1519.999,978,1004,1182,454.999,560,944.999,644,2949.999,625,"ENSG00000144659"
